semantic_model,session_index,session_id,token_id,book_frame_index,local_receive_time,updates_since_prior_book,full_book_equal,bid_equal,ask_equal,best_bid_equal,best_ask_equal,bid_diff_levels,ask_diff_levels,absolute_size_error,rebootstrap_after_check
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2362,2026-09-13T00:07:48.743803+00:00,2,True,True,True,True,True,0,0,0.00,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,86678697607325035415301144402167255215468684543893990956207990950437281806267,2719,2026-09-13T00:04:52.095343+00:00,10,False,False,True,True,True,4,0,277067.25,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,86678697607325035415301144402167255215468684543893990956207990950437281806267,2733,2026-09-13T00:04:53.206521+00:00,1,False,False,True,True,True,1,0,224858.54,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,86678697607325035415301144402167255215468684543893990956207990950437281806267,2785,2026-09-13T00:04:56.162446+00:00,2,False,False,True,True,True,2,0,229848.41,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,29593316250860173485681500655272516621071562717109962191321330351423433807292,2716,2026-09-13T00:04:52.060971+00:00,9,False,False,True,True,True,4,0,400910.84,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,26924943409099587884725835387292512623954637197660419126367977003516773219764,67,2026-09-13T00:03:49.439784+00:00,64,False,False,False,True,True,7,6,126811.63,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,26924943409099587884725835387292512623954637197660419126367977003516773219764,85,2026-09-13T00:03:50.646928+00:00,17,False,False,False,True,True,3,4,87926.45,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,26924943409099587884725835387292512623954637197660419126367977003516773219764,1199,2026-09-13T00:04:22.942296+00:00,1058,False,False,False,False,True,26,36,7727199.14,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,26924943409099587884725835387292512623954637197660419126367977003516773219764,1246,2026-09-13T00:04:25.574503+00:00,44,False,False,False,True,True,4,8,263633.76,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,26924943409099587884725835387292512623954637197660419126367977003516773219764,1253,2026-09-13T00:04:25.577122+00:00,6,False,True,False,True,True,0,3,11205.20,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,26924943409099587884725835387292512623954637197660419126367977003516773219764,2338,2026-09-13T00:04:36.954017+00:00,1079,False,False,False,True,False,22,46,7695484.53,True
DELTA,0,54a22659-e1cc-4a2c-9f70-94442522c79c,26924943409099587884725835387292512623954637197660419126367977003516773219764,2348,2026-09-13T00:04:36.979711+00:00,9,False,False,False,True,True,2,5,63303.49,True
DELTA,1,090fbfdf-a61a-43bc-a83a-2463ccd61785,86678697607325035415301144402167255215468684543893990956207990950437281806267,727,2026-09-13T00:06:10.102849+00:00,28,False,False,True,True,True,15,0,474256.89,True
DELTA,1,090fbfdf-a61a-43bc-a83a-2463ccd61785,26924943409099587884725835387292512623954637197660419126367977003516773219764,84,2026-09-13T00:05:40.833838+00:00,52,False,False,False,True,True,7,14,1464043.71,True
DELTA,1,090fbfdf-a61a-43bc-a83a-2463ccd61785,26924943409099587884725835387292512623954637197660419126367977003516773219764,104,2026-09-13T00:05:42.185092+00:00,19,False,False,False,True,True,4,7,490769.51,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,86678697607325035415301144402167255215468684543893990956207990950437281806267,1680,2026-09-13T00:07:01.104749+00:00,4,False,False,True,True,True,2,0,358394.95,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,29593316250860173485681500655272516621071562717109962191321330351423433807292,253,2026-09-13T00:06:45.055880+00:00,1,False,False,True,True,True,1,0,345960.56,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,29593316250860173485681500655272516621071562717109962191321330351423433807292,2298,2026-09-13T00:07:34.056130+00:00,3,False,False,True,True,True,2,0,359884.56,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,723,2026-09-13T00:06:48.244767+00:00,718,False,False,False,False,True,24,34,5588229.71,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,757,2026-09-13T00:06:48.342915+00:00,33,False,False,False,True,True,5,9,10032.26,True
